,Day,Date,workoutActivityType,duration,durationUnit,activeEnergyBurned,basalEnergyBurned,hr_mean,hr_peak
245,Friday,2021-11-12,TraditionalStrengthTraining,50.4230484008789,min,609.358,116.016,135.4198,145.709
246,Friday,2021-11-12,Walking,32.87251956661542,min,250.739,76.0858,128.58575,152.567
247,Saturday,2021-11-13,TraditionalStrengthTraining,43.37381773392359,min,384.899,97.9749,121.11874999999999,127.836
248,Monday,2021-11-15,TraditionalStrengthTraining,36.76040346622467,min,493.049,84.7386,139.04625000000001,142.996
249,Monday,2021-11-15,Walking,4.759059433142344,min,79.3247,10.8386,166.39655172413794,186.0
250,Monday,2021-11-15,Walking,9.04600334962209,min,99.5935,20.5095,161.849,161.849
251,Monday,2021-11-15,Walking,10.06481248339017,min,86.968,23.1609,135.452,135.452
252,Tuesday,2021-11-16,TraditionalStrengthTraining,47.1431401014328,min,685.94,108.002,145.3684,154.672
253,Tuesday,2021-11-16,Walking,14.44932121634483,min,249.793,33.344,163.66449999999998,166.17
254,Wednesday,2021-11-17,TraditionalStrengthTraining,63.97231058478356,min,675.436,146.702,127.52133333333332,131.76
255,Wednesday,2021-11-17,Walking,30.06663568417231,min,515.186,69.8708,161.67366666666666,168.774
256,Thursday,2021-11-18,TraditionalStrengthTraining,32.70358223319054,min,375.974,75.1979,134.17475000000002,143.448
257,Sunday,2021-11-21,TraditionalStrengthTraining,69.4967739323775,min,636.365,159.01,121.68228571428571,142.496
258,Sunday,2021-11-21,Walking,18.33867706656456,min,320.808,42.4317,154.51699999999997,164.795
259,Monday,2021-11-22,TraditionalStrengthTraining,66.71566298206648,min,815.18,154.468,137.29714285714286,162.737
260,Monday,2021-11-22,Basketball,38.65494936704636,min,722.331,89.591,176.55975,191.754
261,Tuesday,2021-11-23,TraditionalStrengthTraining,38.88023808399836,min,467.745,88.9292,137.6612,149.821
262,Friday,2021-11-26,TraditionalStrengthTraining,70.71866218249004,min,1073.55,163.694,151.58928571428572,158.541
263,Sunday,2021-11-28,TraditionalStrengthTraining,56.83102929989497,min,677.074,130.752,136.2698333333333,150.214
264,Sunday,2021-11-28,Walking,21.58458401560783,min,368.698,49.8069,166.7495,167.418
265,Monday,2021-11-29,TraditionalStrengthTraining,46.96751208305359,min,658.258,107.305,145.12820000000002,149.977
266,Monday,2021-11-29,Walking,12.53008694847425,min,221.966,28.9102,168.0195,169.475
267,Tuesday,2021-11-30,TraditionalStrengthTraining,42.21496573289235,min,649.212,97.2313,153.713,162.112
268,Tuesday,2021-11-30,Walking,2.070503117640813,min,21.4457,4.35713,153.04,169.0
